Subject Name,Characteristics,Lab Subject,Type of Subject,Duration,Requirements,Learning Background,Learning Style,Learning Ability,Teacher Experience,Teaching Pattern,Lab Facility
Control Systems,Analytical,Yes,Core,30,Theoretical,PG,Abstract,Medium,Experienced,Expert,Available
Engineering Mechanics,Design-oriented,Yes,Elective,50,Theoretical,PhD,Concrete,High,Experienced,Judicial,Not Available
Mechanics of Materials,Experimental,Yes,Elective,50,Theoretical,UG,Field-Independent,High,New,Local,Not Available
Engineering Mechanics,Design-oriented,No,Elective,30,Lab,UG,Tactile,Low,New,Personal Model,Available
Machine Design,Analytical,Yes,Elective,20,Theoretical,UG,Concrete,Low,New,Teacher-Centered,Not Available
Control Systems,Analytical,Yes,Core,20,Lab,PG,Tactile,High,Intermediate,Expert,Not Available
Heat Transfer,Design-oriented,Yes,Elective,30,Theoretical,UG,Global,Medium,New,Legislative,Available
Fluid Mechanics,Experimental,No,Elective,20,Lab,PG,Abstract,High,Intermediate,Student-Centered,Available
Computer-Aided Design (CAD),Design-oriented,No,Elective,40,Theoretical,PhD,Intuitive,Medium,Intermediate,Indirect Teaching,Not Available
Computer-Aided Design (CAD),Experimental,Yes,Elective,20,Theoretical,PG,Tactile,Medium,Intermediate,Formal Authority,Not Available
Mechanics of Materials,Analytical,Yes,Elective,40,Theoretical,UG,Field-Dependent,Medium,Experienced,Problem Solving,Available
Thermodynamics,Analytical,Yes,Elective,20,Theoretical,UG,Field-Dependent,High,Experienced,Personal Model,Available
Heat Transfer,Analytical,Yes,Core,20,Theoretical,PhD,Field-Dependent,Low,Experienced,Discipline-Centered,Available
Engineering Mechanics,Design-oriented,No,Core,30,Lab,PhD,Visual,Low,New,Group Approach,Available
Manufacturing Processes,Analytical,Yes,Elective,10,Theoretical,PhD,Concrete,Medium,Intermediate,Problem Solving,Not Available
Control Systems,Design-oriented,No,Core,40,Lab,PhD,Abstract,Medium,Intermediate,Formal Authority,Available
Heat Transfer,Experimental,Yes,Core,40,Theoretical,PhD,Active,Medium,Intermediate,Direct Teaching,Available
Control Systems,Experimental,No,Core,50,Lab,PhD,Intuitive,Low,New,Student-Centered,Available
Machine Design,Design-oriented,Yes,Core,30,Lab,PhD,Active,Low,Intermediate,Facilitator,Not Available
Engineering Mechanics,Experimental,No,Core,50,Lab,PhD,Intuitive,Low,Experienced,Judicial,Not Available
Engineering Mechanics,Design-oriented,Yes,Core,50,Theoretical,PhD,Field-Dependent,Low,New,Group Approach,Available
Mechanics of Materials,Experimental,Yes,Elective,30,Theoretical,UG,Field-Dependent,High,New,Facilitative,Not Available
Control Systems,Design-oriented,Yes,Elective,40,Lab,PG,Field-Independent,Medium,Intermediate,Legislative,Available
Mechatronics,Experimental,No,Core,40,Theoretical,PG,Tactile,High,New,Problem Solving,Not Available
Fluid Mechanics,Design-oriented,Yes,Elective,50,Lab,UG,Visual,Medium,New,Judicial,Available
Mechanics of Materials,Analytical,Yes,Elective,50,Lab,PhD,Visual,Medium,Experienced,Personal Model,Not Available
Thermodynamics,Analytical,No,Elective,30,Lab,PhD,Kinesthetic,Medium,Experienced,Didactic,Available
Fluid Mechanics,Design-oriented,Yes,Elective,10,Theoretical,UG,Global,Low,Experienced,Facilitator,Available
Computer-Aided Design (CAD),Analytical,Yes,Elective,20,Theoretical,UG,Sequential,Medium,Intermediate,Facilitative,Available
Mechatronics,Experimental,No,Elective,40,Theoretical,UG,Active,High,Experienced,Socratic,Not Available
Thermodynamics,Analytical,Yes,Elective,10,Lab,UG,Sequential,High,Experienced,Student-Centered,Not Available
Machine Design,Experimental,No,Core,20,Theoretical,PG,Abstract,High,Experienced,Expert,Not Available
Manufacturing Processes,Experimental,Yes,Elective,10,Theoretical,UG,Tactile,Medium,New,Direct Teaching,Not Available
Fluid Mechanics,Analytical,Yes,Core,50,Theoretical,PhD,Visual,High,Intermediate,Personal Model,Not Available
Machine Design,Analytical,Yes,Core,20,Lab,UG,Field-Independent,Low,New,Liberal,Available
Fluid Mechanics,Analytical,Yes,Elective,10,Theoretical,UG,Field-Dependent,Low,Experienced,Global,Not Available
Control Systems,Analytical,No,Elective,10,Theoretical,PG,Sequential,High,New,Global,Available
Engineering Mechanics,Design-oriented,Yes,Core,20,Lab,PhD,Field-Dependent,Medium,Experienced,Student-Centered,Not Available
Engineering Mechanics,Design-oriented,No,Core,30,Theoretical,UG,Global,Low,Experienced,Personal Model,Available
Heat Transfer,Design-oriented,No,Core,20,Theoretical,PhD,Active,Medium,Experienced,Conservative,Not Available
Machine Design,Analytical,Yes,Core,40,Lab,PhD,Kinesthetic,Medium,Intermediate,Expert,Available
Fluid Mechanics,Experimental,No,Core,40,Theoretical,PhD,Active,Medium,Intermediate,Local,Not Available
Fluid Mechanics,Analytical,No,Elective,20,Theoretical,PhD,Tactile,Medium,New,Discipline-Centered,Not Available
Fluid Mechanics,Design-oriented,No,Elective,40,Lab,PG,Concrete,High,Intermediate,Peer Teaching,Available
Manufacturing Processes,Experimental,No,Elective,10,Theoretical,UG,Field-Independent,High,Intermediate,Peer Teaching,Available
Manufacturing Processes,Design-oriented,No,Elective,10,Lab,PG,Abstract,Low,New,Group Approach,Not Available
Fluid Mechanics,Experimental,Yes,Core,50,Theoretical,PG,Auditory,High,Experienced,Student-Centered,Available
Fluid Mechanics,Experimental,Yes,Elective,50,Theoretical,PG,Sequential,Medium,New,Problem Solving,Not Available
Engineering Mechanics,Analytical,No,Elective,40,Theoretical,PG,Tactile,High,Experienced,Liberal,Not Available
Manufacturing Processes,Analytical,No,Elective,50,Lab,PG,Global,High,Intermediate,Student-Centered,Not Available
Manufacturing Processes,Analytical,No,Core,50,Lab,UG,Active,Low,Experienced,Liberal,Not Available
Manufacturing Processes,Experimental,No,Elective,10,Theoretical,PhD,Active,Low,Experienced,Legislative,Not Available
Mechatronics,Design-oriented,No,Core,10,Theoretical,UG,Sequential,Low,Intermediate,Local,Available
Fluid Mechanics,Analytical,Yes,Core,30,Theoretical,PG,Tactile,Low,Experienced,Peer Teaching,Available
Computer-Aided Design (CAD),Analytical,No,Core,30,Lab,UG,Kinesthetic,Low,Intermediate,Executive,Available
Control Systems,Design-oriented,Yes,Core,30,Lab,UG,Intuitive,Low,New,Indirect Teaching,Not Available
Mechanics of Materials,Experimental,Yes,Elective,30,Theoretical,PG,Field-Independent,Low,Experienced,Discipline-Centered,Not Available
Mechatronics,Analytical,No,Core,50,Theoretical,PhD,Global,High,Intermediate,Teacher-Centered,Not Available
Manufacturing Processes,Design-oriented,Yes,Core,50,Theoretical,UG,Impulsive,Low,New,Global,Available
Thermodynamics,Design-oriented,Yes,Core,30,Theoretical,PhD,Abstract,High,Experienced,Peer Teaching,Not Available
Thermodynamics,Experimental,Yes,Elective,40,Lab,PG,Global,Medium,New,Formal Authority,Available
Mechanics of Materials,Design-oriented,Yes,Core,40,Lab,PhD,Abstract,Low,Experienced,Liberal,Available
Mechanics of Materials,Experimental,No,Elective,40,Lab,PG,Active,Medium,Experienced,Delegator,Available
Computer-Aided Design (CAD),Design-oriented,Yes,Core,40,Theoretical,PhD,Global,Medium,Intermediate,Conservative,Available
Fluid Mechanics,Analytical,Yes,Core,30,Theoretical,PG,Reflective,Medium,Experienced,Indirect Teaching,Available
Fluid Mechanics,Design-oriented,No,Core,10,Theoretical,PhD,Kinesthetic,Low,Intermediate,Problem Solving,Not Available
Mechanics of Materials,Experimental,Yes,Core,10,Theoretical,UG,Visual,High,Experienced,Problem Solving,Not Available
Fluid Mechanics,Experimental,No,Elective,10,Lab,PhD,Abstract,Medium,Experienced,Problem Solving,Available
Thermodynamics,Design-oriented,Yes,Elective,40,Lab,PG,Concrete,Low,Experienced,Problem Solving,Not Available
Fluid Mechanics,Design-oriented,No,Core,50,Lab,PG,Active,Medium,Experienced,Personal Model,Not Available
Mechanics of Materials,Experimental,No,Core,20,Theoretical,PG,Visual,Medium,New,Conservative,Not Available
Engineering Mechanics,Analytical,Yes,Elective,30,Theoretical,PG,Auditory,Low,New,Student-Centered,Not Available
Computer-Aided Design (CAD),Experimental,No,Elective,10,Theoretical,PhD,Intuitive,Medium,Experienced,Judicial,Not Available
Heat Transfer,Design-oriented,No,Elective,30,Theoretical,UG,Impulsive,Medium,Experienced,Conservative,Not Available
Manufacturing Processes,Experimental,Yes,Core,50,Lab,UG,Field-Independent,High,Intermediate,Liberal,Available
Control Systems,Analytical,Yes,Core,10,Lab,PhD,Auditory,High,Intermediate,Delegator,Not Available
Thermodynamics,Analytical,Yes,Core,30,Lab,UG,Active,High,New,Local,Available
Mechanics of Materials,Experimental,Yes,Core,40,Theoretical,UG,Reflective,High,New,Student-Centered,Available
Control Systems,Analytical,Yes,Elective,30,Theoretical,PhD,Global,Low,New,Global,Available
Machine Design,Experimental,Yes,Elective,50,Theoretical,PhD,Field-Dependent,Low,New,Socratic,Not Available
Manufacturing Processes,Design-oriented,No,Elective,50,Lab,PG,Tactile,Medium,Intermediate,Didactic,Available
Engineering Mechanics,Experimental,Yes,Core,30,Theoretical,PhD,Concrete,High,New,Teacher-Centered,Available
Heat Transfer,Experimental,No,Core,50,Theoretical,PhD,Intuitive,Medium,New,Delegator,Not Available
Engineering Mechanics,Experimental,Yes,Core,30,Lab,UG,Abstract,Low,Intermediate,Judicial,Available
Mechatronics,Design-oriented,Yes,Elective,30,Theoretical,UG,Abstract,Medium,Intermediate,Problem Solving,Not Available
Fluid Mechanics,Analytical,No,Core,10,Theoretical,PhD,Field-Independent,High,New,Executive,Not Available
Mechanics of Materials,Analytical,No,Elective,10,Lab,PhD,Abstract,Medium,Intermediate,Formal Authority,Available
Machine Design,Experimental,No,Core,10,Lab,PhD,Kinesthetic,High,Experienced,Facilitator,Not Available
Mechatronics,Experimental,Yes,Core,30,Lab,PhD,Global,Low,Intermediate,Formal Authority,Available
Engineering Mechanics,Analytical,No,Elective,50,Lab,PG,Active,Low,Experienced,Liberal,Not Available
Engineering Mechanics,Design-oriented,Yes,Core,20,Lab,PG,Kinesthetic,Low,New,Formal Authority,Available
Mechanics of Materials,Analytical,Yes,Elective,10,Theoretical,PG,Sequential,Low,New,Socratic,Not Available
Control Systems,Design-oriented,No,Core,20,Lab,PG,Sequential,High,Intermediate,Legislative,Available
Mechanics of Materials,Analytical,No,Core,10,Theoretical,PhD,Kinesthetic,Low,New,Teacher-Centered,Available
Machine Design,Analytical,Yes,Core,40,Theoretical,UG,Active,Low,Experienced,Problem Solving,Not Available
Machine Design,Design-oriented,No,Elective,50,Lab,PhD,Tactile,Low,New,Delegator,Available
Mechatronics,Experimental,Yes,Elective,50,Lab,UG,Active,Low,Intermediate,Group Approach,Not Available
Mechatronics,Analytical,No,Core,50,Theoretical,PG,Concrete,Medium,New,Local,Not Available
Heat Transfer,Experimental,Yes,Core,10,Theoretical,UG,Field-Independent,Medium,Intermediate,Conservative,Not Available
Computer-Aided Design (CAD),Analytical,Yes,Elective,50,Theoretical,PG,Concrete,Low,Experienced,Problem Solving,Not Available
Fluid Mechanics,Design-oriented,Yes,Core,50,Theoretical,PG,Impulsive,Medium,Intermediate,Delegator,Available
Manufacturing Processes,Analytical,No,Elective,40,Theoretical,PG,Impulsive,High,New,Personal Model,Not Available
Thermodynamics,Experimental,Yes,Elective,50,Theoretical,PG,Intuitive,Medium,New,Delegator,Not Available
Control Systems,Design-oriented,Yes,Core,20,Lab,UG,Impulsive,Low,Intermediate,Executive,Available
Mechatronics,Analytical,No,Elective,30,Theoretical,PhD,Global,Low,Intermediate,Socratic,Available
Mechatronics,Experimental,No,Core,40,Lab,UG,Kinesthetic,High,Intermediate,Facilitator,Available
Machine Design,Analytical,No,Elective,20,Theoretical,PhD,Abstract,Low,New,Conservative,Not Available
Control Systems,Experimental,Yes,Elective,50,Theoretical,PG,Field-Dependent,Medium,Intermediate,Judicial,Available
Heat Transfer,Design-oriented,Yes,Elective,30,Lab,PG,Impulsive,High,New,Discipline-Centered,Available
Computer-Aided Design (CAD),Design-oriented,No,Core,10,Lab,PhD,Field-Independent,Low,Intermediate,Judicial,Not Available
Computer-Aided Design (CAD),Experimental,Yes,Core,50,Theoretical,PG,Visual,Low,Intermediate,Direct Teaching,Not Available
Thermodynamics,Analytical,Yes,Core,40,Lab,UG,Sequential,High,New,Direct Teaching,Available
Heat Transfer,Design-oriented,Yes,Core,20,Theoretical,PhD,Tactile,Medium,Experienced,Group Approach,Available
Computer-Aided Design (CAD),Design-oriented,No,Elective,20,Lab,UG,Visual,Low,New,Socratic,Available
Computer-Aided Design (CAD),Experimental,Yes,Core,20,Lab,UG,Reflective,Low,New,Peer Teaching,Available
Machine Design,Analytical,No,Core,10,Lab,PhD,Tactile,Low,New,Didactic,Available
Thermodynamics,Experimental,Yes,Core,50,Theoretical,PhD,Sequential,High,Intermediate,Student-Centered,Available
Mechanics of Materials,Analytical,Yes,Core,40,Lab,PhD,Field-Dependent,Medium,New,Facilitator,Available
Fluid Mechanics,Experimental,No,Core,50,Theoretical,PG,Tactile,High,Intermediate,Expert,Not Available
Mechanics of Materials,Design-oriented,Yes,Core,40,Theoretical,PG,Kinesthetic,High,Experienced,Peer Teaching,Not Available
Heat Transfer,Design-oriented,No,Core,50,Lab,PhD,Field-Dependent,High,Intermediate,Student-Centered,Available
Manufacturing Processes,Experimental,No,Core,20,Theoretical,PG,Active,High,Intermediate,Personal Model,Available
Engineering Mechanics,Design-oriented,No,Elective,50,Theoretical,UG,Field-Dependent,Medium,New,Global,Available
Machine Design,Analytical,No,Core,50,Theoretical,UG,Impulsive,High,Experienced,Liberal,Available
Mechanics of Materials,Analytical,No,Elective,40,Lab,PhD,Active,Medium,Experienced,Personal Model,Not Available
Manufacturing Processes,Analytical,Yes,Elective,50,Lab,PG,Kinesthetic,Medium,Experienced,Facilitative,Available
Fluid Mechanics,Analytical,Yes,Core,10,Theoretical,PG,Active,High,Experienced,Expert,Available
Thermodynamics,Experimental,Yes,Elective,30,Lab,PhD,Tactile,High,Intermediate,Group Approach,Available
Machine Design,Design-oriented,Yes,Elective,40,Theoretical,UG,Visual,Medium,Experienced,Expert,Not Available
Mechatronics,Experimental,Yes,Elective,10,Lab,UG,Concrete,Low,Experienced,Problem Solving,Available
Machine Design,Experimental,Yes,Elective,20,Theoretical,PG,Global,Medium,New,Direct Teaching,Not Available
Computer-Aided Design (CAD),Design-oriented,No,Core,40,Lab,PhD,Field-Dependent,High,Intermediate,Indirect Teaching,Not Available
Heat Transfer,Analytical,Yes,Elective,50,Theoretical,UG,Visual,Medium,New,Conservative,Not Available
Control Systems,Experimental,No,Core,50,Theoretical,PG,Auditory,High,New,Expert,Not Available
Machine Design,Experimental,No,Core,50,Theoretical,PG,Auditory,Medium,Intermediate,Facilitative,Available
Machine Design,Analytical,No,Elective,20,Theoretical,UG,Concrete,Low,Intermediate,Personal Model,Available
Mechanics of Materials,Design-oriented,Yes,Elective,20,Lab,PhD,Visual,High,New,Delegator,Available
Computer-Aided Design (CAD),Experimental,No,Core,30,Theoretical,UG,Intuitive,Low,Intermediate,Personal Model,Not Available
Machine Design,Design-oriented,Yes,Elective,40,Theoretical,UG,Impulsive,Low,New,Conservative,Available
Engineering Mechanics,Experimental,No,Elective,10,Lab,PG,Reflective,Medium,Experienced,Facilitator,Not Available
Thermodynamics,Experimental,No,Core,30,Lab,PG,Reflective,Medium,Intermediate,Personal Model,Not Available
Computer-Aided Design (CAD),Analytical,No,Core,50,Lab,UG,Abstract,High,Intermediate,Discipline-Centered,Available
Heat Transfer,Design-oriented,Yes,Elective,30,Lab,PhD,Field-Independent,Medium,New,Judicial,Available
Thermodynamics,Experimental,Yes,Core,10,Theoretical,PG,Field-Independent,Medium,Intermediate,Facilitative,Not Available
Engineering Mechanics,Design-oriented,No,Elective,10,Theoretical,UG,Sequential,High,Experienced,Conservative,Not Available
Machine Design,Design-oriented,No,Core,10,Theoretical,PhD,Sequential,Medium,Experienced,Local,Not Available
Manufacturing Processes,Analytical,No,Core,10,Theoretical,PG,Impulsive,Low,Experienced,Judicial,Available
Manufacturing Processes,Analytical,No,Core,40,Lab,UG,Concrete,Low,Intermediate,Conservative,Not Available
Control Systems,Design-oriented,Yes,Elective,40,Theoretical,PhD,Active,High,Experienced,Peer Teaching,Not Available
Control Systems,Experimental,Yes,Elective,50,Lab,PhD,Abstract,High,Intermediate,Socratic,Not Available
Fluid Mechanics,Design-oriented,No,Core,10,Lab,PhD,Tactile,High,Experienced,Facilitator,Not Available
Mechatronics,Experimental,No,Core,50,Lab,PG,Global,Medium,Intermediate,Executive,Not Available
Mechatronics,Experimental,Yes,Elective,50,Lab,PG,Abstract,High,Intermediate,Personal Model,Available
Machine Design,Experimental,No,Elective,20,Lab,PG,Impulsive,High,Experienced,Conservative,Available
Computer-Aided Design (CAD),Design-oriented,Yes,Core,10,Lab,PG,Sequential,Medium,Experienced,Direct Teaching,Available
Mechanics of Materials,Design-oriented,No,Elective,10,Theoretical,UG,Impulsive,Medium,Intermediate,Student-Centered,Not Available
Machine Design,Analytical,Yes,Core,10,Lab,PhD,Global,Low,Intermediate,Global,Not Available
Machine Design,Experimental,Yes,Elective,40,Lab,PG,Concrete,Low,New,Formal Authority,Available
Fluid Mechanics,Experimental,No,Elective,30,Theoretical,UG,Tactile,High,New,Expert,Not Available
Fluid Mechanics,Analytical,No,Elective,50,Lab,PG,Field-Independent,Medium,Experienced,Judicial,Not Available
Fluid Mechanics,Analytical,Yes,Core,50,Theoretical,UG,Concrete,Medium,Experienced,Legislative,Available
Machine Design,Experimental,Yes,Elective,30,Theoretical,UG,Active,Medium,New,Facilitative,Not Available
Mechanics of Materials,Design-oriented,Yes,Elective,30,Theoretical,PhD,Visual,Medium,Experienced,Problem Solving,Available
Fluid Mechanics,Analytical,No,Core,30,Lab,PG,Tactile,Low,Experienced,Personal Model,Available
Mechanics of Materials,Analytical,No,Elective,50,Theoretical,PhD,Kinesthetic,Low,Experienced,Delegator,Not Available
Thermodynamics,Design-oriented,Yes,Elective,20,Lab,PhD,Field-Independent,High,New,Delegator,Not Available
Engineering Mechanics,Experimental,No,Core,30,Lab,PhD,Field-Independent,Medium,New,Socratic,Not Available
Mechanics of Materials,Experimental,No,Elective,50,Theoretical,PhD,Kinesthetic,High,Intermediate,Discipline-Centered,Available
Computer-Aided Design (CAD),Analytical,No,Core,10,Theoretical,PG,Abstract,High,Experienced,Socratic,Available
Manufacturing Processes,Analytical,Yes,Core,40,Lab,UG,Active,High,New,Direct Teaching,Available
Control Systems,Analytical,No,Core,40,Theoretical,PG,Field-Dependent,Medium,Experienced,Conservative,Available
Fluid Mechanics,Design-oriented,Yes,Elective,10,Lab,UG,Field-Independent,High,New,Teacher-Centered,Available
Computer-Aided Design (CAD),Design-oriented,No,Elective,20,Theoretical,PhD,Impulsive,Low,Intermediate,Judicial,Available
Thermodynamics,Analytical,No,Elective,10,Theoretical,UG,Intuitive,Medium,New,Socratic,Available
Heat Transfer,Design-oriented,No,Core,20,Lab,PG,Intuitive,High,Experienced,Didactic,Not Available
Heat Transfer,Analytical,Yes,Elective,30,Theoretical,PhD,Field-Independent,High,Intermediate,Legislative,Not Available
Engineering Mechanics,Design-oriented,Yes,Core,40,Lab,PhD,Impulsive,Low,Experienced,Delegator,Not Available
Heat Transfer,Analytical,No,Core,50,Lab,UG,Sequential,Low,New,Legislative,Available
Fluid Mechanics,Experimental,Yes,Elective,50,Lab,PG,Active,Low,Intermediate,Teacher-Centered,Not Available
Thermodynamics,Experimental,No,Core,30,Theoretical,UG,Intuitive,Low,New,Expert,Not Available
Computer-Aided Design (CAD),Design-oriented,No,Core,40,Theoretical,PhD,Abstract,Low,Experienced,Conservative,Available
Thermodynamics,Design-oriented,Yes,Elective,50,Theoretical,PG,Intuitive,Medium,Experienced,Facilitator,Available
Manufacturing Processes,Design-oriented,No,Core,40,Theoretical,PG,Tactile,High,New,Conservative,Available
Manufacturing Processes,Experimental,Yes,Elective,20,Lab,PhD,Concrete,High,New,Group Approach,Available
Engineering Mechanics,Design-oriented,Yes,Elective,20,Lab,PG,Reflective,Low,Experienced,Socratic,Available
Manufacturing Processes,Design-oriented,No,Elective,20,Lab,PhD,Tactile,High,Intermediate,Local,Available
Mechatronics,Design-oriented,No,Elective,10,Lab,PG,Sequential,Low,Experienced,Teacher-Centered,Available
Thermodynamics,Analytical,No,Elective,40,Lab,UG,Global,Low,New,Problem Solving,Not Available
Engineering Mechanics,Analytical,Yes,Elective,40,Lab,UG,Abstract,High,Intermediate,Legislative,Available
Manufacturing Processes,Experimental,Yes,Core,30,Theoretical,UG,Visual,Low,New,Facilitative,Available
Mechanics of Materials,Experimental,Yes,Elective,20,Lab,UG,Abstract,Medium,New,Indirect Teaching,Available
Heat Transfer,Analytical,No,Elective,20,Lab,PhD,Kinesthetic,Low,Intermediate,Indirect Teaching,Available
Computer-Aided Design (CAD),Analytical,No,Core,20,Theoretical,PhD,Reflective,Medium,Intermediate,Discipline-Centered,Available
Mechanics of Materials,Analytical,No,Core,40,Lab,PhD,Global,High,New,Facilitative,Not Available
Mechatronics,Analytical,No,Core,30,Lab,UG,Global,Medium,New,Problem Solving,Not Available
Fluid Mechanics,Analytical,No,Elective,30,Lab,UG,Field-Independent,Low,Experienced,Legislative,Available
Fluid Mechanics,Design-oriented,No,Elective,50,Theoretical,PhD,Tactile,Low,New,Judicial,Not Available
Computer-Aided Design (CAD),Design-oriented,Yes,Core,30,Theoretical,PhD,Field-Dependent,High,Intermediate,Teacher-Centered,Available
Engineering Mechanics,Analytical,Yes,Elective,40,Lab,PhD,Kinesthetic,Low,Experienced,Teacher-Centered,Available
Computer-Aided Design (CAD),Design-oriented,Yes,Elective,30,Lab,PG,Visual,High,Intermediate,Socratic,Not Available
Thermodynamics,Design-oriented,No,Core,20,Theoretical,PhD,Global,High,Experienced,Didactic,Not Available
Manufacturing Processes,Experimental,No,Core,20,Theoretical,PhD,Field-Independent,Low,New,Student-Centered,Available
Manufacturing Processes,Design-oriented,No,Core,10,Lab,PG,Visual,Medium,Experienced,Facilitator,Not Available
Thermodynamics,Analytical,No,Elective,40,Lab,PG,Visual,Medium,Experienced,Formal Authority,Not Available
Machine Design,Experimental,Yes,Core,40,Lab,UG,Field-Independent,Medium,Experienced,Executive,Not Available
Mechanics of Materials,Analytical,Yes,Core,10,Lab,PG,Intuitive,Low,New,Direct Teaching,Available
Control Systems,Experimental,Yes,Elective,20,Theoretical,UG,Kinesthetic,Medium,New,Delegator,Available
Engineering Mechanics,Experimental,No,Elective,40,Lab,PhD,Reflective,High,New,Executive,Available
Mechanics of Materials,Design-oriented,No,Core,20,Lab,UG,Kinesthetic,High,Experienced,Formal Authority,Available
Computer-Aided Design (CAD),Experimental,Yes,Elective,20,Theoretical,PG,Global,Medium,Intermediate,Indirect Teaching,Available
Heat Transfer,Experimental,Yes,Elective,10,Theoretical,PhD,Concrete,Low,Intermediate,Facilitator,Not Available
Fluid Mechanics,Analytical,Yes,Elective,30,Lab,PG,Kinesthetic,Low,New,Judicial,Not Available
Engineering Mechanics,Analytical,No,Core,20,Lab,UG,Active,High,New,Facilitator,Available
Machine Design,Design-oriented,Yes,Core,20,Lab,UG,Reflective,High,New,Peer Teaching,Not Available
Fluid Mechanics,Experimental,Yes,Core,10,Theoretical,UG,Visual,Low,Experienced,Personal Model,Available
Computer-Aided Design (CAD),Experimental,No,Core,10,Theoretical,PG,Visual,Low,Experienced,Group Approach,Available
Mechanics of Materials,Design-oriented,Yes,Elective,40,Theoretical,PG,Impulsive,Medium,New,Liberal,Not Available
Computer-Aided Design (CAD),Experimental,No,Elective,40,Theoretical,UG,Auditory,High,New,Indirect Teaching,Available
Fluid Mechanics,Analytical,Yes,Elective,50,Theoretical,UG,Active,High,Experienced,Peer Teaching,Available
Machine Design,Experimental,Yes,Elective,30,Lab,UG,Impulsive,Medium,Experienced,Facilitative,Available
Mechanics of Materials,Design-oriented,No,Core,30,Theoretical,UG,Sequential,Medium,New,Student-Centered,Not Available
Heat Transfer,Experimental,No,Elective,50,Theoretical,UG,Reflective,High,Intermediate,Local,Available
Manufacturing Processes,Analytical,No,Core,40,Theoretical,PG,Abstract,Medium,Experienced,Facilitative,Available
Mechanics of Materials,Experimental,Yes,Core,30,Lab,PG,Sequential,Medium,Intermediate,Facilitative,Available
Computer-Aided Design (CAD),Analytical,Yes,Core,40,Lab,PG,Field-Independent,Medium,Intermediate,Group Approach,Available
Fluid Mechanics,Design-oriented,No,Elective,50,Theoretical,UG,Sequential,Medium,New,Global,Available
Engineering Mechanics,Design-oriented,Yes,Core,30,Theoretical,UG,Kinesthetic,Low,Experienced,Didactic,Available
Heat Transfer,Design-oriented,Yes,Elective,10,Lab,UG,Field-Independent,Medium,New,Legislative,Available
Thermodynamics,Design-oriented,No,Elective,40,Lab,PhD,Abstract,Low,Intermediate,Peer Teaching,Not Available
Mechatronics,Experimental,Yes,Core,20,Lab,UG,Visual,Medium,New,Indirect Teaching,Available
Heat Transfer,Design-oriented,Yes,Elective,30,Lab,PG,Abstract,Low,Experienced,Local,Not Available
Computer-Aided Design (CAD),Analytical,Yes,Core,30,Lab,UG,Field-Dependent,High,Experienced,Personal Model,Available
Mechanics of Materials,Analytical,Yes,Elective,40,Lab,PhD,Impulsive,High,Intermediate,Global,Not Available
Heat Transfer,Analytical,No,Core,50,Lab,UG,Intuitive,Low,Intermediate,Problem Solving,Not Available
Mechatronics,Experimental,No,Core,40,Lab,PG,Auditory,High,New,Student-Centered,Not Available
Mechatronics,Experimental,No,Elective,30,Theoretical,PhD,Auditory,High,Experienced,Conservative,Not Available
Fluid Mechanics,Analytical,Yes,Core,30,Theoretical,PhD,Global,Low,New,Expert,Available
Engineering Mechanics,Design-oriented,Yes,Core,20,Theoretical,PG,Field-Dependent,Low,Experienced,Legislative,Available
Control Systems,Analytical,No,Elective,40,Lab,PG,Visual,High,Experienced,Discipline-Centered,Not Available
Manufacturing Processes,Analytical,No,Core,30,Theoretical,UG,Tactile,High,Experienced,Judicial,Available
Mechanics of Materials,Design-oriented,No,Elective,40,Theoretical,PG,Kinesthetic,Low,Intermediate,Indirect Teaching,Available
Thermodynamics,Experimental,No,Core,20,Lab,PhD,Sequential,Medium,New,Peer Teaching,Not Available
Manufacturing Processes,Design-oriented,No,Elective,20,Lab,PhD,Auditory,Low,New,Conservative,Not Available
Computer-Aided Design (CAD),Analytical,Yes,Core,40,Theoretical,UG,Kinesthetic,Low,Intermediate,Direct Teaching,Available
Mechanics of Materials,Design-oriented,Yes,Elective,40,Lab,PhD,Active,Medium,Experienced,Formal Authority,Available
Mechatronics,Analytical,Yes,Elective,50,Lab,PG,Visual,High,Experienced,Discipline-Centered,Not Available
Computer-Aided Design (CAD),Design-oriented,Yes,Elective,10,Theoretical,UG,Sequential,Low,Intermediate,Delegator,Available
Mechatronics,Analytical,Yes,Elective,50,Lab,PG,Kinesthetic,Medium,Intermediate,Local,Available
Fluid Mechanics,Analytical,No,Core,50,Lab,UG,Reflective,Low,New,Student-Centered,Not Available
Mechatronics,Experimental,No,Core,40,Lab,PG,Visual,Low,Intermediate,Judicial,Available
Engineering Mechanics,Experimental,Yes,Elective,30,Theoretical,PhD,Visual,Low,Experienced,Conservative,Not Available
Manufacturing Processes,Experimental,No,Core,50,Theoretical,UG,Auditory,Low,Intermediate,Group Approach,Not Available
Heat Transfer,Analytical,Yes,Elective,10,Lab,PhD,Global,High,Intermediate,Discipline-Centered,Not Available
Mechanics of Materials,Experimental,Yes,Elective,20,Theoretical,PG,Sequential,Low,Intermediate,Delegator,Available
Thermodynamics,Design-oriented,Yes,Elective,10,Theoretical,PhD,Tactile,High,New,Student-Centered,Available
Heat Transfer,Design-oriented,No,Core,40,Lab,UG,Field-Dependent,Low,Intermediate,Facilitator,Available
